slide,id,morph,locality,species,tissue_thickness,collagen_layer_nm,collagen_layer_px,iridophores_area_px,iridophores_area_nm2,iridophores_thickness_px,iridophores_thickness_nm,iridophores_density,melanophores_area_px,melanophores_area_nm2,melanophores_thickness_px,melanophores_thickness_nm,melanophores_density,xanthophores_area_px,xanthophores_area_nm2,xanthophores_thickness_px,xanthophore_thickness_nm,xanthophores_density,xanthtomel,iritomel,xanthtoiri,glands,B1,B2,S1R,S1G
1104,CAY.3,green,CAY,pumilio,16.47,2.85137015,0.034701175,0,0,0,0,,38127.57,464.0125269,127.45,1.5510665,299.1570812,10455.75,127.2464775,45.02,0.5478934,232.2467792,0.776337228,0,,4,3724.195814,9.287271357,0.254616985,0.323006373
1105,CAY.4,green,CAY,pumilio,28.63,2.58286344,0.031433448,935.25,11.3819925,20.52,0.2497284,45.57748538,42314.38,514.9660046,150.29,1.8290293,281.5515337,5420.14,65.9631038,40.64,0.4945888,133.3695866,0.473695117,0.161879727,2.926216431,5,1972.967631,4.920118781,0.304964037,0.384512307
1106,CAY.5,green,CAY,pumilio,18.39468303,2.61824163,0.031864001,0,0,0,0,,28144.85556,342.5228921,1979.908903,0.981713333,348.9031682,5300.233333,64.50383966,56.29183032,0.685071575,94.15635098,0.269863846,0,,4,4868.007222,12.13966888,0.258836937,0.309048695
1107,CAY.6,green,CAY,pumilio,14.91,2.613138343,0.031801894,2036.07,24.7789719,21.96,0.2672532,92.71721311,36289.81,441.6469877,145.13,1.7662321,250.0503686,7236.01,88.0622417,40.25,0.4898425,179.776646,0.718961732,0.370794147,1.938978103,4,1948.800175,4.85985081,0.289991876,0.381443207
1108,CAY.7,green,CAY,pumilio,23.28732107,4.241411323,0.051617976,176.015785,2.142112103,0,0,,31047.66667,377.8501033,1178.465723,1.685545,224.1708784,3225.533333,39.25474066,185.258934,2.254601227,17.4109462,0.077668189,0,,5,1919.112557,4.78581685,0.290906132,0.420610158
1109,CAY.8,green,CAY,pumilio,21.85412406,3.435732983,0.04181287,3227,39.27259,137.7889578,1.676891616,23.41987379,31804.66667,387.0627933,1461.661623,2.377206667,162.8225256,3735.166667,45.45697834,96.060188,1.169052488,38.88360771,0.238809757,0.143836817,1.660282547,4,2554.643671,6.370682472,0.265735544,0.289101994
112722,CEI.2,aquamarine,CEI,vicentei,5.84946182,1.784434363,0.021716566,14601.66667,177.7022833,46.3175,0.563683975,315.2516148,2546.704041,30.99338817,42.31801002,0.515010182,60.18014645,4391.261905,53.44165738,27.59177001,0.335791841,159.1511492,2.644578961,5.238465398,0.50483849,3,3449.19526,5.526712258,0.260825947,0.285797436
112822,CEI.3,aquamarine,CEI,vicentei,,2.103458743,0.025599093,673,8.19041,5.898287017,0.071782153,114.1009242,32147.625,391.2365963,72.57328998,0.883216939,442.9677228,2285.597222,27.81571819,31.41168003,0.382280146,72.76265452,0.164261753,0.257582931,0.63770434,3,3093.19864,8.601484439,0.194809595,0.324658883
112922,CEI.4,aquamarine,CEI,vicentei,,2.093098017,0.025473003,3599,43.79983,14.04948998,0.170982293,256.1658826,34804.61111,423.5721172,84.13655004,1.023941814,413.6681513,1586.083333,19.30263417,18.29148003,0.222607312,86.71159089,0.209616309,0.619254544,0.338497812,3,1751.411788,7.713712319,0.261078388,0.357112608
113022,CEI.5,aquamarine,CEI,vicentei,,3.46739121,0.042198151,1717.5,20.901975,29.22518003,0.355670441,58.76781591,7859.505724,95.65018466,145.0516,1.765277972,54.18420565,2725.388889,33.16798278,35.11118003,0.427303061,77.62168308,1.432551832,1.084593106,1.3208196,3,1527.199884,4.367610443,0.251164197,0.308909093
113122,CEI.6,aquamarine,CEI,vicentei,,2.165732633,0.026356966,1042,12.68114,23.87261422,0.290529715,43.64834076,8101.431818,98.59442523,86.01986253,1.046861727,94.18094356,1504,18.30368,28.10152753,0.34199559,53.52022229,0.568270186,0.463451937,1.226168541,2,1201.785155,3.808478514,0.254706509,0.346023861
113222,CEI.7,aquamarine,CEI,vicentei,,,0,4326.633334,52.65512766,23.87261425,0.290529715,157.5869157,17091.97554,208.0093423,86.01986251,1.046861727,213.036234,2498.46627,30.4063345,28.10152753,0.34199559,89.95346,0.422244884,0.739718839,0.570818076,,2204.558145,2.996970462,0.242861307,0.338073239
113322,CEI.8,aquamarine,CEI,vicentei,,3.324998153,0.040465228,2872.25,34.9552825,14.90434002,0.181385818,192.7123238,19037.10556,231.6815746,105.8737,1.288482929,179.8095803,1892.566667,23.03253633,30.27125004,0.368401113,62.52026805,0.347702653,1.07175782,0.324422781,3,2751.136524,6.860689587,0.260776574,0.315750802
V644/22,DAM.1,green,DAM,granulifera,15.37,3.69,0.0449073,,,,,,683.6483155,8.682333607,118.3237469,1.44,30.8884694,105.9983566,1.29,69.0221857,0.84,8.210053335,0.265796703,,,3,1537.906978,3.835179497,0.280673063,0.336496498
V645/22,DAM.2,green,DAM,granulifera,15.64,5.14,0.0625538,,,,,,1525.061627,19.36828266,196.3845522,2.39,40.79930302,493.0156122,6,53.41002465,0.65,48.496519,1.188660477,,,3,1796.162152,4.47920736,0.214063698,0.347849838
V646/22,DAM.3,green,DAM,granulifera,13.11,5.35,0.0651095,2838,34.53846,41.33,0.5029861,68.66682797,670.5012325,8.515365653,253.9030403,3.09,16.55154006,304.0262942,3.7,111.7502054,1.36,17.05177313,1.030222751,,,2,2182.099947,5.441645754,0.237917266,0.258776773
V647/22,DAM.4,green,DAM,granulifera,15.66,3.66,0.0445422,3318.5,40.386145,32.46,0.3950382,102.2335182,3095.316352,39.31051767,185.7025472,2.26,87.45906803,590.7970419,7.19,46.01479047,0.56,67.36875592,0.770288976,,,2,1598.147565,3.985405398,0.232741098,0.306310383
V648/22,DAM.5,green,DAM,granulifera,19.16,5.79,0.0704643,,,,,,4452.752671,56.54995892,294.1659819,3.58,64.91574438,1484.798685,18.07,82.16926869,1,77.49471216,1.193773759,,,2,2541.40057,6.337657281,0.195314265,0.255831485
V649/22,DAM.6,green,DAM,granulifera,22.71,4.53,0.0551301,,,,,,3926.047658,49.86080526,164.3385374,2,86.43874192,1788.003287,21.76,79.70419063,0.97,81.16699065,0.939011708,,,,3958.120424,9.870624499,0.211846671,0.297919431
V650/22,DAM.7,green,DAM,granulifera,19.12,5.52,0.0671784,,,,,,1230.895645,15.63237469,167.6253081,2.04,31.55754279,407.5595727,4.96,93.67296631,1.14,18.69813792,0.592509311,,,2,2628.518834,6.554909809,0.211340287,0.296118751
V651/22,DAM.8,green,DAM,granulifera,16.28,4.23,0.0514791,,,,,,479.8685292,6.094330321,142.9745275,1.74,16.94020338,245.6861134,2.99,59.16187346,0.72,20.96011751,1.237300228,,,,4153.99899,10.35909973,0.233764237,0.2864574
3524,EMP.2,brown,EMP,vicentei,5.327701467,2.481787533,0.030203354,2730.111111,33.22545222,19.94867001,0.242775314,140.2982324,3515.275478,42.78090257,80.8389,0.983809413,44.1880863,2241.04321,27.27349587,27.12912002,0.330161391,84.18461326,1.905142773,3.175023952,0.600040441,4,3203.578984,4.877041732,0.314575256,0.336266137
3624,EMP.3,brown,EMP,vicentei,5.091055817,2.35055163,0.028606213,3108,37.82436,17.66634002,0.214999358,175.9277811,3020.110777,36.75474816,92.82885998,1.129727226,32.53417932,1962.240741,23.88046981,24.27154002,0.295384642,80.84533323,2.484935379,5.407475608,0.459537048,3,3065.631782,7.644967037,0.306812838,0.368965628
3724,EMP.4,brown,EMP,vicentei,5.718301673,3.64344243,0.044340694,3533.333333,43.00066667,20.27855004,0.246789954,174.2399396,4450.84899,54.1668322,85.97267001,1.046287394,51.7705102,2221.222222,27.03227445,32.59057001,0.396627237,68.15536586,1.316490133,3.36562145,0.391158112,3,3882.91485,9.683079426,0.314538311,0.343175341
113823,EMP.5,brown,EMP,vicentei,6.264625143,2.29898602,0.02797866,1549,18.85133,21.90111997,0.26653663,70.72697663,3074.866667,37.42112734,63.71517001,0.775413619,48.25956937,2539.666667,30.90774334,24.52525004,0.298472293,103.5531407,2.145753517,1.465553414,1.464125085,5,2662.19032,6.638878603,0.324933017,0.290494225
V652/22,ESQ.1,green,ESQ,granulifera,19.19,5.16,0.0627972,3128.33,38.0717761,29.66,0.3609622,105.4730276,1531.635168,19.45176663,245.6861134,2.99,26.69372405,411.6680362,5.010000001,90.38619556,1.1,19.50201507,0.730584276,,,2,3333.94752,8.314083592,0.286665298,0.337071094
V653/22,ESQ.2,green,ESQ,granulifera,14.03,3.76,0.0457592,2229.39,27.1316763,38.1,0.463677,58.51417323,1307.313065,16.60287593,185.7025472,2.26,41.23001485,685.2917009,8.34,73.95234182,0.9,54.27193323,1.316320972,,,2,4841.709569,12.0740887,0.248766038,0.324655509
V654/22,ESQ.3,green,ESQ,granulifera,20.38,4.76,0.0579292,,,,,,626.9515201,7.962284305,268.6935086,3.27,9.40766897,936.7296631,11.4,78.88249795,0.96,47.8783153,5.089285715,,,,2331.299809,5.813715234,0.341152863,0.350828944
V655/22,ESQ.4,green,ESQ,granulifera,18.46,4.18,0.0508706,,,,,,1032.046015,13.10698439,198.0279376,2.41,23.19798814,654.8890715,7.97,87.9211175,1.07,33.15524709,1.429229418,,,3,3619.836217,9.027022986,0.288300651,0.341974913
V656/22,ESQ.5,green,ESQ,granulifera,19.17,3.69,0.0449073,,,,,,1096.138044,13.92095316,336.8940016,4.1,13.94630894,563.6811832,6.86,92.02958094,1.12,26.25387432,1.882496253,,,,3138.817416,7.827474853,0.26516154,0.361406168
V657/22,ESQ.6,green,ESQ,granulifera,19.09,5.67,0.0690039,,,,,,910.4354971,11.56253081,161.8734593,1.97,24.20900988,755.1355793,9.19,107.641742,1.31,30.19588127,1.247299308,,,,1891.506478,4.716973762,0.353937578,0.467076615
V658/22,ESQ.7,green,ESQ,granulifera,15.51,4.74,0.0576858,336.58,4.0961786,18.01,0.2191817,18.68850639,998.3566146,12.67912901,156.9433032,1.91,33.70082516,289.2358258,3.52,78.88249795,0.96,19.42535903,0.576406036,,,,3816.980527,9.518654681,0.265259936,0.352900394
V659/22,ESQ.8,green,ESQ,granulifera,15.14,3.62,0.0440554,1339.46,16.3012282,22.21,0.2702957,60.30886988,1199.671323,15.2358258,176.6639277,2.15,36.85512958,362.3664749,4.41,82.16926869,1,23.93437747,0.649417808,,,,1833.126583,4.571387988,0.401714236,0.433533306
3024,LOM.1,green,LOM,vicentei,7.44347625,3.24863546,0.039535894,2001.666667,24.36028333,18.88589638,0.229841359,105.9873795,10561.54583,128.5340128,58.81648447,0.715796616,179.5677849,2790.625,33.96190625,28.46798,0.346455317,98.02680052,0.545904159,0.590236047,0.924891256,4,4222.16512,10.56767338,0.169967616,0.234748222
3224,LOM.3,green,LOM,vicentei,6.68282691,3.245637583,0.039499409,2990.333333,36.39235667,16.35078973,0.198989111,182.8861714,11977.10165,145.7613271,52.7810341,0.642345185,226.9205568,4126.428572,50.21863572,27.37515,0.333155576,150.7362906,0.664268997,0.805948011,0.824208246,3,4668.304818,8.225404969,0.165338338,0.27291411
3324,LOM.4,green,LOM,vicentei,,,0,2125.333334,25.86530667,21.55126919,0.273476317,94.57969507,5198.406899,63.26461196,59.02581397,0.813217626,88.07005866,2368.75,28.8276875,42.6646,0.519228182,55.52026739,0.630410247,1.073914296,0.587021002,4,4304.425543,10.73422829,0.187210373,0.250301408
V628/22,PAL.1,red,PAL,granulifera,14.5,4.65,0.0565905,2661.666667,32.39248333,,,,1175.020542,14.92276088,106.8200493,1.3,62.33530727,405.9161873,4.939999999,60.80525883,0.74,37.83002678,0.606879607,,,,5110.098141,12.74338688,0.645152811,0.207010353
v629/22,PAL.2,red,PAL,granulifera,14.03,10.15,0.1235255,,,,,,1364.00986,17.32292522,734.5932621,8.94,10.87482608,645.0287592,7.849999999,104.3549712,1.27,36.20075986,3.328858742,,,,4901.565686,12.22335583,0.62904513,0.217414697
v630/22,PAL.3,red,PAL,granulifera,11.73,9.22,0.1122074,,,,,,675.4313887,8.577978636,150.3697617,1.83,31.46531889,442.0706656,5.38,63.27033689,0.77,48.9443945,1.555502891,,,,5485.431436,13.67938014,0.490664091,0.212757146
V631/22,PAL.4,red,PAL,granulifera,16.89,4.89,0.0595113,1258.666667,15.31797333,,,,1038.619556,13.19046836,211.1750205,2.57,23.92730154,448.6442071,5.46,83.81265407,1.02,26.04187459,1.088374907,,,,4225.552465,10.53753732,0.680548788,0.179071394
V632/22,PAL.5,red,PAL,granulifera,14,6.44,0.0783748,,,,,,1435.497124,18.23081347,324.5686113,3.95,25.95835667,453.5743632,5.52,117.5020542,1.43,22.6560621,0.872784914,,,,6528.109231,16.27957414,0.398551952,0.229326753
V633/22,PAL.6,red,PAL,granulifera,13.7,5.08,0.0618236,,,,,,1477.403451,18.76302383,437.9622021,5.33,20.23258311,598.1922761,7.28,99.42481512,1.21,36.08567751,1.783542779,,,,3187.61705,7.949169702,0.606309273,0.177758489
V634/22,PAL.7,red,PAL,granulifera,16.03,5.24,0.0637708,,,,,,907.1487264,11.52078883,84.63434675,1.03,54.9424154,633.5250616,7.71,75.5957272,0.92,42.95784138,0.781870274,,,,7485.599559,18.66733057,0.610096752,0.190615644
V635/22,PAL.8,red,PAL,granulifera,11.37,4.12,0.0501404,,,,,,3029.580937,38.4756779,113.3935908,1.38,193.0825422,198.0279376,2.410000001,39.44124897,0.48,36.2848024,0.187923786,,,,3190.355101,7.955997758,0.631934539,0.200088892
1118,POP.1,green,POP,pumilio,17.98,0.2188166,0.002662998,239.42,2.9137414,20.96,0.2550832,11.42270992,59674,726.23258,78.21,0.9518157,762.9970592,4604.92,56.0418764,36.47,0.4438399,126.265972,0.16548684,0.014970844,11.05394192,3,2409.429094,6.008551356,0.324674364,0.446713498
1119,POP.2,green,POP,pumilio,22.91,0.2788147,0.003393175,1457.25,17.7347325,42.72,0.5199024,34.1116573,24356.33333,296.4165767,177.12,2.1555504,137.5131738,7968.67,96.9787139,63.99,0.7787583,124.5299266,0.90558543,0.248061014,3.650656006,3,1704.581887,4.250827649,0.268630252,0.496809313
1120,POP.3,green,POP,pumilio,15.25,0.1855925,0.002258661,2123,25.83691,21.56,0.2623852,98.46938776,23315.75,283.7526775,86.77,1.0559909,268.7075026,4885.03,59.4508151,43.95,0.5348715,111.1497156,0.413645747,0.366455669,1.128774314,4,5211.790106,12.99698281,0.293086167,0.359557691
1121,POP.4,green,POP,pumilio,23.84,0.2901328,0.003530916,1160.89,14.1280313,18.63,0.2267271,62.31293612,12262.05,149.2291485,94.5,1.150065,129.7571429,7360.69,89.5795973,52.21,0.6353957,140.9823789,1.086509581,0.480227406,2.262489744,4,2080.725803,5.188842402,0.273074913,0.533872501
1122,POP.5,green,POP,pumilio,20.55,0.2500935,0.003043638,2172.92,26.4444364,27.71,0.3372307,78.41645615,96427.5,1173.522675,103.21,1.2560657,934.2844686,20143.92,245.1515064,60.37,0.7347029,333.6743416,0.357144267,0.083932099,4.255157119,4,3090.221798,7.706288774,0.288996347,0.365604147
1124,POP.7,green,POP,pumilio,22.21881391,0.24469002,0.002977878,5343.5,65.030395,16.46462641,0.200374503,324.544261,90904,1106.30168,157.6666667,1.918803333,576.5581396,28162.66667,342.7396533,58.16666667,0.707888333,484.17192,0.839762527,0.562899452,1.491851739,4,3958.670217,9.871995553,0.241014548,0.351752029
V636/22,SAN.1,red,SAN,granulifera,18.07,4.47,0.0543999,4221.75,51.3786975,,,,965.4889071,12.26170912,187.3459326,2.28,23.43442429,879.211175,10.7,81.34757601,0.99,49.1473213,2.097227595,,,,4797.768831,11.9645108,0.678666174,0.189723266
V637/22,SAN.2,red,SAN,granulifera,15.64,4.85,0.0590245,2660.25,32.3752425,,,,721.4461791,9.162366475,114.2152835,1.39,33.18580743,1336.072309,16.26,110.9285127,1.35,63.27897646,1.906808403,,,,4416.447461,11.01358469,0.599161796,0.174060036
V638/22,SAN.3,red,SAN,granulifera,13.11,3.97,0.0483149,5948.5,72.393245,,,,1253.90304,15.92456861,106.8200493,1.3,73.57290618,578.4716516,7.04,76.41741988,0.93,47.44565436,0.644879438,,,,3903.166117,9.733581338,0.532968564,0.20646963
V639/22,SAN.4,red,SAN,granulifera,16.42,5.94,0.0722898,733,8.92061,,,,1447.000822,18.37691044,147.082991,1.79,49.23144625,479.0468365,5.83,65.73541495,0.8,36.46824273,0.740750994,,,,6855.721757,17.09656298,0.380557936,0.195901271
V640/22,SAN.5,red,SAN,granulifera,16.11,4.57,0.0556169,2024.666667,24.64019333,,,,363.1881676,4.612489729,124.8972884,1.52,14.83175568,478.2251438,5.82,83.81265407,1.02,29.10292863,1.962203886,,,,4236.981995,10.56603989,0.452264588,0.196905173
V641/22,SAN.6,red,SAN,granulifera,14.56,4.13,0.0502621,,0,,,,1301.561216,16.52982744,105.9983566,1.29,69.29685322,654.8890715,7.97,54.23171734,0.66,68.14946215,0.983442378,,,,2983.587211,7.44036711,0.651880913,0.183756677
V642/22,SAN.7,red,SAN,granulifera,17.73,4.28,0.0520876,,0,,,,433.032046,5.499506984,89.56450288,1.09,22.4070562,600.6573541,7.309999999,73.95234182,0.9,37.64224817,1.679928315,,,,4770.129221,11.89558409,0.483254566,0.184042334
V643/22,SAN.8,red,SAN,granulifera,15.79,4.79,0.0582943,2246.666667,27.34193333,,,,803.6154478,10.20591619,86.27773213,1.05,48.4704272,428.1018899,5.21,65.73541495,0.8,33.89026994,0.699194785,,,,4125.074687,10.28696929,0.578958379,0.183377089
